lugar de interes,distancia min,estacion bici max,direccion de lugar de interes,bicis disponibles
Centro Cultural El Plantío (Moncloa - Aravaca),10842.88577041764,Avenida Complutense nº 23,CALLE JOSE LOMBANA IGLESIAS 4,8
Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas),2326.373286995983,Calle Arroyo del Olivar nº 6,AVENIDA GLORIETAS 19,24
Centro Cultural Emilia Pardo Bazán (Salamanca),30.987063796944962,Calle Goya nº 1,CALLE GOYA 1 Subterráneo,14
Centro Cultural Federico Chueca (Hortaleza),2434.413764990826,Calle Carlota O'Neill nº 32,CALLE BENITA AVILA 23,14
Centro Cultural Fernando Lázaro Carreter (Carabanchel),737.5057516812386,Glorieta Marqués de Vadillo nº 9,CALLE VERDAD 29,5
Centro Cultural Fernando de los Ríos (Latina),3444.725774076352,Calle Caramuel nº 51,CALLE CAMARENA 10 B,7
Centro Cultural Fuente de San Pedro - Valderrivas (Vicálvaro),3705.95545646772,Calle Hacienda de Pavones nº 342,CALLE TITANIO 5,18
Centro Cultural Galileo (Chamberí),224.47011990353843,Calle Fernando el Católico nº 19,CALLE GALILEO 39,12
Centro Cultural Gloria Fuertes (Barajas),6302.01307396174,Calle Gutierre de Cetina nº 77,AVENIDA LOGRO&amp;Ntilde;O 179,6
Centro Cultural Hortaleza,3766.4355279786378,Calle Carlota O'Neill nº 32,CALLE SANTA VIRGILIA 15,14
Centro Cultural Huerta de la Salud (Hortaleza),3487.564634875037,Calle Carlota O'Neill nº 32,CALLE MAR DE LAS ANTILLAS 8,14
Centro Cultural José Luis Sampedro (Latina),2444.2512432943317,Calle Caramuel nº 51,CALLE CASTROSERNA 4,7
Centro Cultural Juan Genovés (Moncloa - Aravaca),6412.524690490329,Avenida Complutense nº 23,TRAVESIA CA&amp;Ntilde;O 5,8
Centro Cultural Julio Cortázar (Moncloa - Aravaca),1706.983588279171,Calle Francos Rodríguez nº 62,CALLE ANTONIO MACHADO 20,3
Centro Cultural La Vaguada (Fuencarral - El Pardo),2213.3211557005834,Calle Azucenas nº 1,AVENIDA MONFORTE DE LEMOS 38,12
Centro Cultural Las Californias (Retiro),391.612935738694,Calle Retama nº 5,CALLE LUIS PEIDRO 2,16
Centro Cultural Lavapiés (Centro),118.09751770795269,Calle Lavapiés nº 34,CALLE OLIVAR 46,11
Centro Cultural Lope de Vega (Puente de Vallecas),981.9169450156519,Calle Retama nº 5,CALLE CONCEJO DE TEVERGA 1,16
Centro Cultural Los Rosales (Villaverde),4527.4216070525945,Calle Sodio nº 1B,AVENIDA LOS ROSALES 133,11
Centro Cultural Mercado de Ibiza (Retiro),85.729526522219,Calle Ibiza nº 18,CALLE IBIZA 8 PLANTA 1ª,13
Centro Cultural Meseta de Orcasitas (Usera),2319.5993083625344,Calle Antonio López nº 129,PLAZA ASOCIACION 1,19
Centro Cultural Miguel Hernández (Latina),6847.612807774443,Calle Caramuel nº 51,CALLE SERRADILLA 13,7
Centro Cultural Nicolás Salmerón (Chamartín),393.812063183212,Avenida del Doctor Arce nº 45,CALLE MANTUANO 51,3
Centro Cultural Orcasur (Usera),2471.171996372894,Calle Antonio López nº 129,PLAZA PUEBLO 2,19
Centro Cultural Príncipe de Asturias (Ciudad Lineal),856.4481744952232,Calle Gutierre de Cetina nº 77,CALLE HERMANOS GARCIA NOBLEJAS 14,6
Centro Cultural Puerta de Toledo (Centro),105.1879409131717,Glorieta de la Puerta de Toledo nº 1,AVENIDA GRAN VIA DE SAN FRANCISCO 2,13
Centro Cultural Quinta del Berro - Rafael Altamira (Salamanca),371.66032122087046,Calle Sancho Dávila esquina Paseo Marqués de Zafra,CALLE ENRIQUE D'ALMONTE 1,13
Centro Cultural San Francisco La Prensa (Carabanchel),3665.895821649281,Glorieta Marqués de Vadillo nº 9,CALLE ALISEDA 4,5
Centro Cultural San Juan Bautista (Ciudad Lineal),1015.0361198984348,Calle Condesa de Venadito nº 2,CALLE SAN NEMESIO 4,12
Centro Cultural Sanchinarro (Hortaleza),3562.2516235911917,Paseo de la Castellana nº 298,CALLE PRINCESA DE EBOLI 29,13
Centro Cultural Sara Montiel (Latina),5303.499761326577,Calle Caramuel nº 51,CARRETERA BOADILLA DEL MONTE 40,7
Centro Cultural Usera 1,1503.6478124919804,Calle Antonio López nº 129,AVENIDA RAFAELA YBARRA 49,19
Centro Cultural Zazuar (Villa de Vallecas),3705.0630437490045,Calle Hacienda de Pavones nº 342,CENTRO CULTURAL ZAZUAR ,18
Centro Cultural el Madroño (Vicálvaro),2948.3493309108403,Calle Hacienda de Pavones nº 342,CALLE VILLARDONDIEGO 36,18
Centro Cultural el Torito (Moratalaz),240.96180776033458,Calle Camino de los Vinateros nº 108,AVENIDA MORATALAZ 130,18
Centro Cultural la Elipa (Ciudad Lineal),205.22411059340664,Avenida Marqués de Corbera nº 52,CALLE SANTA FELICIDAD 39,18
Centro Deportivo Municipal Alcántara,189.09123329997857,Calle Ayala nº 102,CALLE ALCANTARA 26,2
Centro Deportivo Municipal Alfredo Goyeneche,6015.607294278776,Avenida Complutense nº 23,CALLE ARROYO DE POZUELO 99,8
Centro Deportivo Municipal Aluche,5829.516801746651,Calle Caramuel nº 51,AVENIDA DE LAS AGUILAS 14,7
Centro Deportivo Municipal Antiguo Canódromo,1448.2821468884729,Calle Caramuel nº 51,CALLE VIA CARPETANA 57,7
Centro Deportivo Municipal Antonio Díaz Miguel,889.965053843621,Calle Sinesio Delgado nº 2,CALLE JOAQUIN DICENTA 1,12
Centro Deportivo Municipal Barajas,7006.683407559686,Calle Gutierre de Cetina nº 77,AVENIDA LOGROÑO 70,6
Centro Deportivo Municipal Blanca Fernández Ochoa (La Mina),3586.875133726781,Calle Caramuel nº 51,CALLE MONSEÑOR OSCAR ROMERO 41,7
Centro Deportivo Municipal Casa de Campo,638.8004572891888,Plaza Puerta del Ángel nº 4,PASEO PUERTA DEL ANGEL 7,17
Centro Deportivo Municipal Cea Bermúdez,254.00474148908754,Calle José Abascal frente al nº 2,CALLE CEA BERMUDEZ 3,9
Centro Deportivo Municipal Centro Integrado Arganzuela,173.78466169054158,Calle Palos de la Frontera nº 27,CALLE CANARIAS 17,8
Centro Deportivo Municipal Cerro Almodóvar,4155.892900609349,Calle Hacienda de Pavones nº 342,CALLE CERRO DE ALMODOVAR 9,18
Centro Deportivo Municipal Chamartín,129.73270845759066,Avenida Pío XII nº 3,AVENIDA PIO XII 2,18
Centro Deportivo Municipal Daoíz y Velarde 1,183.79058199126806,Calle León Gil de Palacio nº 3,PLAZA DAOÍZ Y VELARDE 5,10
Centro Deportivo Municipal Daoíz y Velarde 2,258.5276065636965,Calle León Gil de Palacio nº 3,CALLE ALBERCHE 21,10
Centro Deportivo Municipal El Espinillo,3688.246083935172,Calle Sodio nº 1B,CARRETERA VILLAVERDE A VALLECAS 19,11
Centro Deportivo Municipal El Quijote,376.80502563769716,Calle Francisco Balseiro nº 1,CALLE NUMANCIA 11,2
Centro Deportivo Municipal Entrevías,1757.0917991493848,Calle Retama nº 5,RONDA SUR 4,16
Centro Deportivo Municipal Escuelas de San Antón,72.2842708061285,Calle Hortaleza nº 63,CALLE FARMACIA 13,24
Centro Deportivo Municipal Estadio de Atletismo Vallehermoso,303.09484910513237,Calle Santander esquina con Avenida de Filipinas,CALLE MELQUIADES ALVAREZ 19 esquina con calle Jesús Maestro,5
Centro Deportivo Municipal Fabián Roncero,5327.770283680261,Calle Gutierre de Cetina nº 77,AVENIDA SEPTIMA 68,6
Centro Deportivo Municipal Faustina Valladolid (antiguo Valdebernardo),1371.143202764583,Calle Hacienda de Pavones nº 342,CALLE LADERA DE LOS ALMENDROS 2,18
Centro Deportivo Municipal Fernando Martín,661.1421889756915,Calle Francos Rodríguez nº 62,AVENIDA SANTO ANGEL DE LA GUARDA 6,3
Centro Deportivo Municipal Francisco Fernández Ochoa,4514.686000956978,Glorieta Marqués de Vadillo nº 9,CALLE CATORCE OLIVAS 1,5
Centro Deportivo Municipal Fuente del Berro,344.88609700523887,Calle Alcalde Sáinz de Baranda frente al nº 107,CALLE ELVIRA 36,3
Centro Deportivo Municipal Félix Rubio,3545.5864708353315,Calle Sodio nº 1B,CALLE ALIANZA 4,11
Centro Deportivo Municipal Gallur,1410.8106345386118,Calle Caramuel nº 51,CALLE GALLUR 2,7
Centro Deportivo Municipal Gimnasio Moscardó,176.79219965558227,Calle Padre Indalecio Hernández nº 1,CALLE PILAR DE ZARAGOZA 93,3
Centro Deportivo Municipal Hortaleza,3401.042269739749,Avenida Pío XII nº 3,CARRETERA ESTACION DE HORTALEZA 11,18
Centro Deportivo Municipal José María Cagigal,1087.9447185482263,Avenida Juan de Herrera frente a la calle Paul Guinard,CALLE SANTA POLA 22,5
Centro Deportivo Municipal Juan de Dios Román,5217.353213182909,Calle Hacienda de Pavones nº 342,CALLE JOSE GUTIERREZ MAROTO 34,18
Centro Deportivo Municipal La Almudena,1392.8161362958938,Calle Gutierre de Cetina nº 77,CALLE NICOLAS SALMERÓN 8,6
Centro Deportivo Municipal La Bombilla,733.4869567996362,Avenida Juan de Herrera frente a la calle Paul Guinard,CALLE SENDA DEL REY 8,5
Centro Deportivo Municipal La Cebada (antigua La Latina),102.88226311268511,Plaza de la Cebada nº 16 ,PLAZA CEBADA 15,23
Centro Deportivo Municipal La Chopera,407.6301863959953,Avenida de Alfonso XII nº 54,PASEO FERNAN NUÑEZ 3,5
Centro Deportivo Municipal La Elipa,470.3073356238316,Calle Camino de los Vinateros nº 28,CALLE ALCALDE GARRIDO JUARISTI 17,16
Centro Deportivo Municipal La Fundi,265.9956059060563,Calle Alicante nº 3,CALLE ALICANTE 14,14
Centro Deportivo Municipal La Masó,2919.5833848035086,Calle Pedro Rico nº 4,CALLE MASO 80 C/V Ventisquero de la Condesa,3
Centro Deportivo Municipal Lago Casa de Campo,506.4067041699094,Plaza Puerta del Ángel nº 4,PASEO EMBARCADERO 8,17
Centro Deportivo Municipal Las Cruces,4575.04180063385,Calle Caramuel nº 51,AVENIDA POBLADOS 72,7
Centro Deportivo Municipal Los Prunos,3539.1409063088245,Calle Carlota O'Neill nº 32,CALLE PETUNIAS 30,14
Centro Deportivo Municipal Luis Aragonés,3334.515092341956,Calle Carlota O'Neill nº 32,CALLE EL PROVENCIO 20,14
Centro Deportivo Municipal Margot Moles (Vicálvaro),3627.6624303105596,Calle Hacienda de Pavones nº 342,PASEO POLIDEPORTIVO 3,18
Centro Deportivo Municipal Marqués de Samaranch,18.296637915019904,Paseo Imperial nº 20,PASEO IMPERIAL 20,13
Centro Deportivo Municipal María Jesús Rosa (La Vaguada),2162.7851631011577,Calle Azucenas nº 1,AVENIDA MONFORTE DE LEMOS 38,12
Centro Deportivo Municipal Miguel Guillén Prim,3218.9824628529905,Calle Hacienda de Pavones nº 342,CALLE FUENTIDUEÑA 6 ESQUINA CALLE PUERTO PORZUNA,18
Centro Deportivo Municipal Mistral,6638.909655789881,Calle Carlota O'Neill nº 32,CALLE MISTRAL 4,14
Centro Deportivo Municipal Moratalaz,293.2576375501037,Calle Hacienda de Pavones nº 342,CALLE VALDEBERNARDO 2,18
Centro Deportivo Municipal Moscardó,545.0755395976304,Calle Eugenio Caxes frente al nº 12,CALLE ANDRES ARTEAGA 5,20
Centro Deportivo Municipal Orcasur,2086.4877311473842,Calle Antonio López nº 129,CALLE MOREJA 11,19
Centro Deportivo Municipal Pabellón Villa de Madrid,6781.491470141548,Calle Gutierre de Cetina nº 77,CALLE BREZOS 6 c/v calle Antonio Sancha,6
Centro Deportivo Municipal Palomeras,1979.911106419438,Calle Hacienda de Pavones nº 342,CALLE TRANVIA DE ARGANDA 4,18
Centro Deportivo Municipal Paseo de la Dirección,635.9298609537623,Calle Francos Rodríguez nº 62,"PASEO DIRECCION (entrada por C/Isla de Gomera, 10) 125",3
Centro Deportivo Municipal Pepu Hernández,3875.460909175086,Calle Gutierre de Cetina nº 77,AVENIDA NIZA 8,6
Centro Deportivo Municipal Peñagrande,2474.6463366153607,Calle Francos Rodríguez nº 62,AVENIDA MONFORTE DE LEMOS 184,3
Centro Deportivo Municipal Peñuelas,220.8250052868281,Paseo de Yeserías nº 45,CALLE ARGANDA 25,23
Centro Deportivo Municipal Plata y Castañar,4763.994358798445,Calle Antonio López nº 129,PASEO PLATA Y CASTAÑAR 7,19
Centro Deportivo Municipal Playa Victoria,256.15811857737094,Calle San Germán nº 57,CALLE HIERBABUENA 2,5
Centro Deportivo Municipal Pradillo,678.2316697186399,Calle Suero de Quiñones nº 2,CALLE PRADILLO 33,10
Centro Deportivo Municipal Pueblo Nuevo,276.5342488471817,Calle Gutierre de Cetina nº 77,CALLE FRANCISCO RIOJA 14,6
Centro Deportivo Municipal Raúl González,4837.889807200727,Calle Sodio nº 1B,CALLE BENIMAMET 137,11
Centro Deportivo Municipal San Blas,2875.1093508374042,Calle Gutierre de Cetina nº 77,AVENIDA HELLIN 47,6
Centro Deportivo Municipal San Cristóbal,5187.295733117543,Calle Sodio nº 1B,PLAZA PINAZO 9,11
Centro Deportivo Municipal San Fermín,1575.0454702973022,Calle Sodio nº 1B,CALLE SAN MARIO 18,11
Centro Deportivo Municipal Tenis Casa de Campo,1189.5260694857827,Plaza Puerta del Ángel nº 4,CAMINO PRINCIPE 2,17
Centro Deportivo Municipal Triángulo de Oro,455.80076220434233,Paseo Castellana (Fundación Canal),CALLE BRAVO MURILLO 376,11
Centro Deportivo Municipal Vallecas Verano,1041.3482229900292,Camino de Valderribas nº 94,CALLE ARROYO DEL OLIVAR 51,21
Centro Deportivo Municipal Vallehermoso,121.21437899334065,Calle Santander esquina con Avenida de Filipinas,AVENIDA FILIPINAS 7,5
Centro Deportivo Municipal Vicente del Bosque,615.8822472950401,Calle Pedro Rico nº 4,AVENIDA MONFORTE DE LEMOS 13,3
Centro Deportivo Municipal Wilfred Agbonavbare (antiguo Alberto García),2564.2235466682664,Calle Arroyo del Olivar nº 6,"CALLE REGUERA DE TOMATEROS, 39B ",24
Centro Deportivo Municipal Ángel Nieto (antiguo Puente de Vallecas),726.8635356635278,Calle Arroyo del Olivar nº 6,CALLE PAYASO FOFO 7,24
Centro Integrado Santiago Apóstol (Hortaleza),2745.32284690149,Avenida Pío XII nº 3,CALLE CARRION DE LOS CONDES 73,18
Centro Integral de Formación de Seguridad y Emergencias (CIFSE),2660.1511298889454,Calle Caramuel nº 51,CALLE SEPULVEDA 153,7
Centro Joven de Madrid Salud,105.37279855921068,Calle Jacometrezo nº 3,CALLE NAVAS DE TOLOSA 10 PLANTA 2ª,24
Centro Juvenil Carabanchel Alto,5570.4622633335575,Glorieta Marqués de Vadillo nº 9,CALLE ALFONSO FERNANDEZ 23,5
Centro Juvenil Chamberí,35.892410958027774,Calle Santa Engracia nº 168,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 2,6
Centro Juvenil El Aleph (Villa de Vallecas),3805.318261001162,Calle Hacienda de Pavones nº 342,CALLE ZAZUAR 1 C/V. Avda. Mediterráneo,18
Centro Juvenil El Pardo,9398.251239174211,Avenida Complutense nº 23,AVENIDA PADRE CIPRIANO 11,8
Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas),3044.4763929884016,Calle Hacienda de Pavones nº 342,CALLE REAL DE ARGANDA 39,18
Centro Juvenil Ouka Leele,214.59366170405562,Calle Sodio nº 1B,CALLE BRONCE 16,11
Centro Juvenil Pipo Velasco (Usera),2076.983964509981,Calle San Delfín nº 9,CALLE AVENA 5,17
Centro Madrid Salud Internacional. Centro de Vacunación Internacional,140.94123534097136,Calle Ortega y Gasset nº 87,CALLE MONTESA 22 PLANTA Baja Edificio A,3
Centro Municipal de Acústica,944.2537395184953,Avenida Juan de Herrera frente a la calle Paul Guinard,"AUTOVIA M-30 21700 Situación M-30 p.K.21,700, Vivero Migas Calientes (detrás del Palacio la Moncloa-Presidencia de Gobierno). o Coordenadas GPS: 40º 26’ 34.42’’ N 3º 44’ 24.37’’ O",5
Centro Municipal de Atención Integral Neurocognitiva (CMAIN) 'Doctor Salgado Alba',221.4905428229619,Glorieta Marqués de Vadillo nº 9,CALLE ARMENGOT 2,5
Centro Municipal de Educación de Adultos. Distrito Arganzuela.,124.43624384924756,Paseo de la Chopera nº 14,PASEO CHOPERA 10 Casa del Reloj,4
Centro Municipal de Educación de Adultos. Distrito Barajas.,7254.405472329469,Calle Carlota O'Neill nº 32,"CALLE PLAYA DE BOLNUEVO (acceso por Playa de San Juan, 7) 20",14
Centro Municipal de Mayores  Castillo de Uclés,1992.7981553642846,Calle Gutierre de Cetina nº 77,CALLE CASTILLO DE UCLES 35 PLANTA BAJA,6
Centro Municipal de Mayores Acuario,8462.365614838607,Calle Carlota O'Neill nº 32,CALLE ACUARIO 27 PLANTA 1ª,14
Centro Municipal de Mayores Alfonso XII,9350.82598800811,Avenida Complutense nº 23,CALLE MIRA EL RIO 4,8
Centro Municipal de Mayores Alto Arenal,1951.6001283351152,Calle Arroyo del Olivar nº 6,CALLE LAGO MARACAIBO 8,24
Centro Municipal de Mayores Antonio Machado,2391.189670234746,Calle Gutierre de Cetina nº 77,CALLE SAN ROMAN DEL VALLE 8,6
Centro Municipal de Mayores Antonio Mingote,90.99832584817605,Calle Fernando el Católico nº 19,CALLE VALLEHERMOSO 47,12
Centro Municipal de Mayores Antón Martín,193.08977968058616,Calle Lavapiés nº 34,CALLE CABEZA 14,11
Centro Municipal de Mayores Aravaca,6427.593010078069,Avenida Complutense nº 23,TRAVESIA CA&amp;Ntilde;O 7,8
Centro Municipal de Mayores Arturo Pajuelo,2970.353077866285,Calle Antonio López nº 129,CALLE SEGURA 3,19
Centro Municipal de Mayores Ascao,40.12024574560566,Calle Gutierre de Cetina nº 77,CALLE ASCAO 6,6
Centro Municipal de Mayores Barrio Aeropuerto,6803.685516707838,Calle Gutierre de Cetina nº 77,CALLE MEDINA DE POMAR 25,6
Centro Municipal de Mayores Benito Martín Lozano,89.7718862734614,Calle Hortaleza nº 63,CALLE SANTA BRIGIDA 12,24
Centro Municipal de Mayores Benito Pérez Galdós,160.12676593798946,Calle Cerro de la Plata nº 2,AVENIDA CIUDAD DE BARCELONA 182,10
Centro Municipal de Mayores Bucaramanga,3391.08527712522,Calle Carlota O'Neill nº 32,AVENIDA BARRANQUILLA 1,14
Centro Municipal de Mayores Campamento,4501.395576347171,Calle Caramuel nº 51,CARRETERA BOADILLA DEL MONTE 13,7
Centro Municipal de Mayores Canal de Panamá,392.0039629519899,Calle Derechos Humanos nº 12,CALLE PADRE COLOMA 2,7
Centro Municipal de Mayores Canillejas,3859.26456267221,Calle Gutierre de Cetina nº 77,CALLE ESFINGE 35,6
Centro Municipal de Mayores Carmen Laforet,2112.400933899788,Paseo de la Castellana nº 298,CALLE JAZMIN 46,13
Centro Municipal de Mayores Casa del Bulevar,161.47566518279098,Calle Arroyo del Olivar nº 6,CALLE PE&amp;Ntilde;A GORBEA 22,24
Centro Municipal de Mayores Casa del Reloj,161.4635220606404,Paseo de la Chopera nº 14,PASEO CHOPERA 10,4
Centro Municipal de Mayores Castilla,193.25269917525375,Paseo de la Castellana nº 298,PASEO CASTELLANA 304,13
Centro Municipal de Mayores Cerro Bermejo,178.98391200287506,Calle Caramuel nº 51,CALLE PERICLES 6,7
Centro Municipal de Mayores Ciudad Pegaso,5360.838680035839,Calle Gutierre de Cetina nº 77,AVENIDA QUINTA 5,6
Centro Municipal de Mayores Ciudad de Méjico,5586.9507170353945,Calle Caramuel nº 51,CALLE RAFAEL FINAT 47,7
Centro Municipal de Mayores Daroca,2844.7950008016714,Calle Hacienda de Pavones nº 342,AVENIDA DAROCA 342,18
Centro Municipal de Mayores Dehesa de la Villa,1726.596799779014,Calle Francos Rodríguez nº 62,CALLE ANTONIO MACHADO 22,3
Centro Municipal de Mayores Dos Amigos,116.72074502333,Calle Princesa nº 5,CALLE DOS AMIGOS 4,22
Centro Municipal de Mayores Eduardo Minguito,4549.877655333542,Calle Sodio nº 1B,CALLE LEONOR GONGORA 62,11
Centro Municipal de Mayores El Almendro,1294.4099704322143,Calle Hacienda de Pavones nº 342,CALLE LADERA DE LOS ALMENDROS 6,18
Centro Municipal de Mayores El Henar,3562.496681067556,Avenida Pío XII nº 3,CALLE ABIZANDA 8,18
Centro Municipal de Mayores El Pozo,2326.373286995983,Calle Arroyo del Olivar nº 6,AVENIDA GLORIETAS 19,24
Centro Municipal de Mayores Entrevías,1973.186829944847,Calle Arroyo del Olivar nº 6,CALLE YUSTE 8,24
Centro Municipal de Mayores Evangelios,660.3539519692129,Calle Antonio López nº 129,CALLE EVANGELIOS 42,19
Centro Municipal de Mayores Francisco de Goya,5267.370435834339,Glorieta Marqués de Vadillo nº 9,CALLE ALFREDO ALEIX 1,5
Centro Municipal de Mayores Ginzo de Limia,2125.505273354577,Calle Pedro Rico nº 4,CALLE GINZO DE LIMIA 66,3
Centro Municipal de Mayores Huerta de la Salud,3572.6096636979214,Calle Carlota O'Neill nº 32,CALLE MAR DE LAS ANTILLAS 10,14
Centro Municipal de Mayores Infante Don Juan,181.19604160344576,Paseo de Moret nº 11,PASEO MORET 3 C,15
Centro Municipal de Mayores Isaac Rabin,189.66903636428836,Calle Camino de los Vinateros nº 108,AVENIDA MORATALAZ 134,18
Centro Municipal de Mayores Islas Filipinas,321.20552011390686,Avenida Marqués de Corbera nº 52,CALLE NUESTRA SE&amp;Ntilde;ORA DEL VILLAR 6,18
Centro Municipal de Mayores Islas Jarvi,1241.3842548469813,Calle Pedro Rico nº 4,CALLE MADERUELO 5,3
Centro Municipal de Mayores José Manuel Bringas,2411.3574492521393,Calle Antonio López nº 129,CALLE CAMINO VIEJO DE VILLAVERDE 26,19
Centro Municipal de Mayores José Ortuño Ponce,4832.3725544575145,Calle Antonio López nº 129,CALLE JOSE ORTUÑO PONCE 3,19
Centro Municipal de Mayores La Guindalera,192.31677348964826,Calle Cartagena nº 34,CALLE PILAR DE ZARAGOZA 28 con vuelta a calle Martínez Izquierdo,1
Centro Municipal de Mayores La Platanera,4003.568066558789,Calle Sodio nº 1B,CALLE CONCEPCION DE LA OLIVA 1,11
Centro Municipal de Mayores La Remonta,65.52864362143066,Calle Azucenas nº 1,PLAZA REMONTA 13,12
Centro Municipal de Mayores La Vaguada,2213.108639236731,Calle Azucenas nº 1,AVENIDA MONFORTE DE LEMOS 38,12
Centro Municipal de Mayores Leñeros,326.6065141495508,Calle Francisco Balseiro nº 1,CALLE LEÑEROS 25,2
Centro Municipal de Mayores Loyola de Palacio,2558.0059706278425,Calle Sodio nº 1B,CALLE SILVINA 10,11
Centro Municipal de Mayores Luca de Tena,139.66120080635244,Calle Palos de la Frontera nº 27,CALLE CANARIAS 17,8
Centro Municipal de Mayores Lucero,2441.879157060389,Calle Caramuel nº 51,CALLE CASTROSERNA 4,7
Centro Municipal de Mayores Luis Vives,1525.037214066522,Calle Gutierre de Cetina nº 77,CALLE HERMANOS GARCIA NOBLEJAS 160,6
Centro Municipal de Mayores Maestro Alonso,137.211940748052,Calle Alejandro González nº 1,CALLE MAESTRO ALONSO 6,6
Centro Municipal de Mayores Manuel Alexandre,21.37236187930536,Avenida de Daroca nº 2,AVENIDA DAROCA 1,20
Centro Municipal de Mayores Manzanares,1048.78828797125,Paseo de Moret nº 11,CALLE LANZADA 2,15
Centro Municipal de Mayores Margarita Salas,5209.333612985635,Calle Caramuel nº 51,CALLE BLAS CABRERA 145,7
Centro Municipal de Mayores María Zambrano,5112.02111783607,Calle Sodio nº 1B,PLAZA PINAZO 1,11
Centro Municipal de Mayores Miguel Delibes,3396.0472713071354,Calle Sodio nº 1B,AVENIDA FELICIDAD 26,11
Centro Municipal de Mayores Monseñor Óscar Romero,3518.120076068667,Calle Caramuel nº 51,CALLE MONSEÑOR OSCAR ROMERO 42,7
Centro Municipal de Mayores Moratalaz,464.5026109513413,Calle Arroyo de las Pilillas nº 6,CALLE ARROYO BELINCOSO 13,18
Centro Municipal de Mayores Navacerrada,370.84872496625064,Calle Sierra Toledana nº 33,CALLE PUERTO DE NAVACERRADA 1,9
Centro Municipal de Mayores Nicanor Barroso,845.8794163218299,Calle Hacienda de Pavones nº 342,CALLE ENCOMIENDA DE PALACIOS 190,18
Centro Municipal de Mayores Nicolás Salmerón,393.812063183212,Avenida del Doctor Arce nº 45,CALLE MANTUANO 51,3
Centro Municipal de Mayores Nuestra Señora de la Merced,1850.8184941324032,Calle Carlota O'Neill nº 32,PLAZA NUESTRA SEÑORA DEL TRANSITO 12,14
Centro Municipal de Mayores Nuestra Señora de los Ángeles,4139.619458825841,Calle Antonio López nº 129,CALLE ARAMA 1,19
Centro Municipal de Mayores Nuestra Señora del Carmen,2929.3592359377144,Calle Carlota O'Neill nº 32,CALLE RAMON POWER 26,14
Centro Municipal de Mayores Orcasur,2325.2156981454477,Calle Antonio López nº 129,AVENIDA ORCASUR 60,19
Centro Municipal de Mayores Pablo Casals,2375.1208672096996,Calle Gutierre de Cetina nº 77,CALLE POBLADURA DEL VALLE 13 PLANTA PRIMERA,6
Centro Municipal de Mayores Pablo Neruda,2007.3652181330133,Calle Hacienda de Pavones nº 342,CALLE GERARDO DIEGO 8,18
Centro Municipal de Mayores Pamplona,165.5418572275345,Calle Navarra nº 1,CALLE PAMPLONA 8,3
Centro Municipal de Mayores Peñagrande,3041.1384907955085,Calle Francos Rodríguez nº 62,CALLE ISLA DE ONS 28,3
Centro Municipal de Mayores Pinar del Rey,2475.7211351201754,Avenida Pío XII nº 3,CALLE LOPEZ DE HOYOS 329,18
Centro Municipal de Mayores Prosperidad Santa Hortensia,267.88777569674187,Calle Santa Hortensia nº 31,CALLE SANTA HORTENSIA 15,8
Centro Municipal de Mayores Príncipe de Asturias,856.4481744952232,Calle Gutierre de Cetina nº 77,CALLE HERMANOS GARCIA NOBLEJAS 14,6
Centro Municipal de Mayores Roger de Flor,1660.3126770995825,Paseo de la Ermita del Santo nº 48,PLAZA ROGER DE FLOR 15,7
Centro Municipal de Mayores San Benito,2745.32284690149,Avenida Pío XII nº 3,CALLE CARRION DE LOS CONDES 73,18
Centro Municipal de Mayores San Diego,629.2478744400061,Calle Arroyo del Olivar nº 6,CALLE JAVIER DE MIGUEL 10,24
Centro Municipal de Mayores San Filiberto,1239.9934458242124,Calle San Delfín nº 9,CALLE SAN FILIBERTO 7 PLANTA BAJO,17
Centro Municipal de Mayores San Francisco,160.5658541408244,Plaza de San Francisco nº 5,"CALLE JERTE 3 entrada por calle San Buenaventura, 3",16
Centro Municipal de Mayores San Juan Bautista,1050.2838635552416,Calle Condesa de Venadito nº 2,CALLE BUESO PINEDA 8,12
Centro Municipal de Mayores San Luciano,2893.9199486814314,Calle Antonio López nº 129,CALLE SAN LUCIANO 16,19
Centro Municipal de Mayores San Vicente de Paúl,1516.9981576592597,Glorieta Marqués de Vadillo nº 9,CALLE ANTONIA LANCHA 54,5
Centro Municipal de Mayores Santa Engracia,202.19808510645055,Calle Santa Engracia nº 127,CALLE SANTA ENGRACIA 116,13
Centro Municipal de Mayores Santa Eugenia,3983.288551255537,Calle Hacienda de Pavones nº 342,CALLE VIRGEN DE LAS VI&amp;Ntilde;AS 1,18
Centro Municipal de Mayores Teresa de Calcuta,6600.010228535965,Calle Gutierre de Cetina nº 77,PLAZA NAVIO 4,6
Centro Municipal de Mayores Tierno Galván,2492.1112823990584,Glorieta Marqués de Vadillo nº 9,CALLE CARRERO JUAN RAMON 24,5
Centro Municipal de Mayores Villa de Vallecas,2965.945072920131,Calle Hacienda de Pavones nº 342,CALLE PICO MAMPODRE 6,18
Centro Municipal de Mayores Villalonso,4493.384998367189,Calle Antonio López nº 129,CALLE VILLALONSO 12,19
