lugar de interes,distancia min,estacion bici max,direccion de lugar de interes,bicis disponibles
Aparcamiento para residentes. Francos Rodríguez,228.69165908906857,Calle Francos Rodríguez nº 62,CALLE NUMANCIA 63,3
Aparcamiento para residentes. Menorca,189.91316232641626,Calle O'Donnell nº 28,CALLE NARVAEZ ,4
Aparcamiento público. Auditorio Nacional de Música (Príncipe de Vergara),113.97648692241079,Calle María Francisca nº 1,CALLE CARTAGENA 178 PLANTA 0 01,4
Aparcamiento público. Descalzas,150.6593352597123,Plaza de Celenque nº 1,PLAZA DESCALZAS 3,24
Aparcamiento público. Glorieta Puerta de Toledo,122.0033880695186,Glorieta de la Puerta de Toledo nº 1,GLORIETA PUERTA DE TOLEDO ,13
Aparcamiento público. Las Cortes,80.88043595336919,Calle del Marqués de Cubas nº 25,PLAZA CORTES 13,10
Aparcamiento público. Luna - Tudescos (cerrado),123.21467089454957,Calle Miguel Moya nº 1,PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA 2 PLANTA 0 02,24
Aparcamiento público. Mostenses,153.03942766364088,Calle San Bernardo nº 22,CALLE GARCIA MOLINAS 4,20
Aparcamiento público. Plaza de Colón,91.09571351636971,Calle Serrano nº 34,CALLE GOYA 2,5
Aparcamiento público. San Epifanio,401.5591457438962,Glorieta Marqués de Vadillo nº 9,CALLE SAN EPIFANIO 9,5
Aparcamiento público. Santa Ana (cerrado),21.21742358564202,Plaza de Santa Ana nº 10,PLAZA SANTA ANA ,23
Aparcamiento público. Velázquez - Juan Bravo,60.816607799617785,Calle Velázquez nº 75,CALLE VELAZQUEZ 88 T PLANTA OD 01,1
Aparcamiento público. Villa de París,34.94870985699003,Calle Marqués de la Ensenada nº 16,PLAZA VILLA DE PARIS 1,12
Apartamentos Municipales para Mayores 'Retiro',201.07927430764718,Calle Doctor Esquerdo nº 99,CALLE JOSE MARTINEZ DE VELASCO 22,20
Apartamentos Municipales para Mayores 'San Francisco',160.5658541408244,Plaza de San Francisco nº 5,CALLE JERTE 3,16
Aravaca Innovation Lab,6232.655732871269,Avenida Complutense nº 23,CALLE CAROLI 1,8
Archivo de Villa,71.7394231250497,Calle Conde Duque nº 22,CALLE CONDE DUQUE 11,23
Arganzuela. Unidad de Participación Ciudadana y Cooperación Público Social,127.97722295511193,Paseo de la Chopera nº 14,PASEO CHOPERA 10,4
Asesoría Jurídica. Servicio de Bastanteo de Poderes,141.3313636532696,Plaza Cibeles,CALLE MONTALBAN 1 PLANTA BAJA,21
Auditorio Carmen Laforet (Ciudad Lineal),2186.112010323209,Paseo de la Castellana nº 298,CALLE JAZMIN 46,13
Auditorio Joaquín Rosado (Moncloa-Aravaca),1056.5301896546084,Avenida Juan de Herrera frente a la calle Paul Guinard,CALLE SANTA POLA 22,5
Auditorio Municipal Las Trece Rosas,2938.6969355749793,Calle Hacienda de Pavones nº 342,CALLE MONTE DE MONTJUICH 7 acceso por calle Sierra Gorda con vuelta a Sierra del Torcal,18
Auditorio Municipal al aire libre Lola Camarena,3968.6108521269102,Calle Hacienda de Pavones nº 342,AVENIDA LA GAVIA 13,18
Auditorio Municipal el Espinillo,3067.467053983168,Calle Sodio nº 1B,CALLE TERTULIA 5,11
Auditorio Parque de la Cuña Verde de Vicálvaro,2543.964911561434,Calle Hacienda de Pavones nº 342,CALLE CASALARREINA 26,18
Auditorio al Aire Libre Recinto Ferial Vicálvaro,4271.955839514475,Calle Hacienda de Pavones nº 342,PASEO POLIDEPORTIVO 142,18
Auditorio al aire libre Berlín,384.3941326191798,Avenida de Concha Espina nº 34,CALLE SAN ERNESTO 10,6
Auditorio al aire libre. Carlos Jiménez de Parga,1231.6239115003427,Calle Hacienda de Pavones nº 342,AVENIDA RAFAEL ALBERTI 13,18
Auditorio al aire libre. Parque Aluche,3896.1256413856468,Calle Caramuel nº 51,CALLE ILLESCAS 149,7
Auditorio al aire libre. Parque Amós Acero,603.7967770328,Calle Arroyo del Olivar nº 6,CALLE SIERRA DE ALQUIFE 20,24
Auditorio al aire libre. Parque Cerro Almodóvar,2451.7706813068494,Calle Caramuel nº 51,CALLE MARCELINO CASTILLO 29,7
Auditorio al aire libre. Parque Enrique Tierno Galván,585.414094572679,Calle Sodio nº 1B,AVENIDA PLANETARIO 18,11
Auditorio al aire libre. Parque Lineal del Manzanares,799.5242595658923,Calle Antonio López nº 129,CAMINO PERALES 1,19
Auditorio al aire libre. Parque de Olof Palme,1185.9537404755147,Calle San Delfín nº 9,CALLE CERECINOS 1,17
Auditorio al aire libre. Parque de Pradolongo,2027.1000019366895,Calle Antonio López nº 129,AVENIDA POBLADOS 169,19
Auditorio al aire libre. Parque de la Cuña Verde de O´Donnell,1459.1124604506172,Calle Hacienda de Pavones nº 342,CALLE FUENTE CARRANTONA 61,18
Auditorio al aire libre. Parque del Calero,247.4793406091464,Calle Jose del Hierro nº 5,CALLE JOSE DEL HIERRO 3,20
Auditorio al aire libre. Pavones,302.61829533956785,Calle Hacienda de Pavones nº 342,CALLE HACIENDA DE PAVONES 209,18
Auditorio al aire libre. Pilar García Peña (Parque Pinar del Rey),2230.665499244678,Calle Colombia nº 7,CARRETERA CANILLAS 1,6
Auditorio al aire libre. Plaza de Ermua,2588.2972561476,Calle Antonio López nº 129,CALLE GUETARIA 56,19
Auditorio de la Plaza de Chamberí - Templete,326.6431640608124,Calle Manuel Silvela nº 20,TEMPLETE PLAZA DE CHAMBERI ,19
Auditorio y sala de exposiciones Paco de Lucía (Latina),4804.53544304538,Calle Caramuel nº 51,AVENIDA LAS AGUILAS 2,7
