lugar de interes,distancia min,estacion bici max,direccion de lugar de interes,bicis disponibles
Centro de acogida Juan Luis Vives,5597.20377132598,Calle Hacienda de Pavones nº 342,CALLE ALCALDE JUAN DE MATA SEVILLANO 18,18
Grupo Municipal Más Madrid,173.14720720859168,Plaza de Ramales,CALLE MAYOR 71 PLANTA 1ª y 2ª,11
Grupo Municipal Socialista de Madrid,173.14720720859168,Plaza de Ramales,CALLE MAYOR 71 PLANTA 3ª y 4ª,11
Grupo Municipal del Partido Popular,116.37222267560969,Plaza del Cordón,PLAZA VILLA 5,12
